cluster ID,ADM2_TH,area_sqkm,days_ago,landcover_type,lat,lon,temperature_k
1,สังขละบุรี,14.1718714375,2,forest/trees,15.1211326401072,98.2160343230035,354.109985351562
2,สังขละบุรี,1.21434028125,7,forest/trees,15.1910729015137,98.2212317185759,308.899993896484
3,สังขละบุรี,0.80974265625,8,forest/trees,15.1422270079397,98.2509884123624,335.260009765625
4,สังขละบุรี,2.294018265625,9,forest/trees,15.1661050208227,98.2661474827819,340.170013427734
5,สังขละบุรี,3.238150390625,6,forest/trees,15.1971084573289,98.263340247519,330.799987792969
6,สังขละบุรี,0.53975296875,7,forest/trees,15.1725451487787,98.2880439178323,304.140014648438
7,สังขละบุรี,0.53957634375,8,forest/trees,15.2432874774031,98.3200463998291,342.440002441406
8,สังขละบุรี,2.96742334375,7,forest/trees,15.2612027424444,98.3122371817342,338.109985351563
9,สังขละบุรี,10.663561,7,forest/trees,15.1024637641529,98.3425184957815,352.200012207031
10,ทองผาภูมิ,1.216117453125,9,forest/trees,14.8710480815461,98.342504281932,305.839996337891
11,ทองผาภูมิ,1.21583925,3,forest/trees,14.9215783162778,98.3514874347732,339.920013427734
12,สังขละบุรี,2.159967578125,2,forest/trees,15.0763271601437,98.3564702773648,335.149993896484
13,ทองผาภูมิ,1.21619146875,9,forest/trees,14.8575733522843,98.3615934817196,331.920013427734
14,ทองผาภูมิ,2.4318209375,8,forest/trees,14.9086650340686,98.3623420777897,335.299987792969
15,สังขละบุรี,0.81035484375,3,forest/trees,14.9771615744827,98.3672079522453,348.799987792969
16,ทองผาภูมิ,16.0903079375,6,forest/trees,14.725373802594,98.3751908800853,351.040008544922
17,สังขละบุรี,0.5399621875,2,forest/trees,15.0883280908925,98.3739453168762,333.619995117188
18,ทองผาภูมิ,1.757176296875,2,forest/trees,14.8000466235128,98.3850878814581,312.390014648438
19,ทองผาภูมิ,9.733263109375,6,forest/trees,14.7723737620561,98.4016433714699,354.5
20,สังขละบุรี,4.587200890625,2,forest/trees,15.2055384196918,98.4004984598333,337.690002441406
21,สังขละบุรี,28.76597975,2,forest/trees,14.9894896865245,98.3906463897641,367
22,สังขละบุรี,0.8105966875,7,forest/trees,14.9114722693315,98.4081935870833,332.959991455078
23,ทองผาภูมิ,10.14213865625,5,forest/trees,14.6991554519298,98.4156720618236,348
24,ทองผาภูมิ,1.3511160625,9,shrub&crub,14.8915970436703,98.4083058764938,330.880004882812
25,ทองผาภูมิ,4.597036796875,7,forest/trees,14.7348146055537,98.4160538458193,344.380004882812
26,สังขละบุรี,1.754658875,3,forest/trees,15.1154071141205,98.4141103752527,340.329986572266
27,สังขละบุรี,0.80986809375,7,forest/trees,15.1085401847852,98.424475551608,304.970001220703
28,สังขละบุรี,2.4287184375,6,forest/trees,15.1877042191982,98.4171767399245,341.799987792969
29,สังขละบุรี,1.213485515625,7,forest/trees,15.3426636057089,98.4222297633977,343.820007324219
30,สังขละบุรี,0.80949715625,7,forest/trees,15.2079163130909,98.4272827868708,330.890014648437
31,ทองผาภูมิ,1.21690959375,9,forest/trees,14.7261947419818,98.4334587044492,334.429992675781
32,ทองผาภูมิ,2.026448375,6,forest/trees,14.9161884245731,98.4341324409122,350.529998779297
33,สังขละบุรี,0.80920628125,8,forest/trees,15.2853960063462,98.4452490925532,345.720001220703
34,ทองผาภูมิ,16.63641590625,3,forest/trees,14.65452123288,98.4301447974559,353.070007324219
35,ทองผาภูมิ,7.304588625,7,forest/trees,14.630000146974,98.4579752257449,356.079986572266
36,สังขละบุรี,1.61974459375,8,forest/trees,15.1074172906801,98.4570394806573,344.089996337891
37,สังขละบุรี,1.07908528125,8,forest/trees,15.2567622066649,98.4648997393933,349.920013427734
38,ทองผาภูมิ,1.351936234375,8,forest/trees,14.7568497510524,98.4655734758564,339.299987792969
39,สังขละบุรี,0.809174578125,6,forest/trees,15.2938177121349,98.4750057863397,307.600006103516
40,สังขละบุรี,1.213866421875,7,forest/trees,15.2752899593999,98.4806202568654,306.190002441406
41,สังขละบุรี,2.024137609375,6,forest/trees,15.1656954947373,98.4862347273912,308.869995117188
42,สังขละบุรี,3.78136171875,6,forest/trees,14.9942456062254,98.4842696627072,342.540008544922
43,สังขละบุรี,1.21452909375,8,forest/trees,15.1573860783592,98.4997094566529,340.480010986328
44,ทองผาภูมิ,23.40609728125,5,forest/trees,14.5879814062879,98.5010595258661,367
45,สังขละบุรี,1.755599921875,8,shrub&crub,14.9982806213065,98.5094699977208,346.170013427734
46,สังขละบุรี,5.132795828125,6,forest/trees,14.9536694478092,98.5212808434098,356.029998779297
